Gene_Name	nextprot_accession	primary_isoform	Ensembl_Accession	RefSeq_Accession	Uniprot_Accession	Chromosome	Start	End	n_neXtProt_entry	Protein_existence	PeptideAtlas_Category	nobs	Description	accession
VAC14	AT2G01690.1	AT2G01690.1		NP_565275.1	Q9ZU97	2	309144	313499	1		canonical	67	 ARM repeat superfamily protein 	AT2G01690.1
Q58FW2	AT3G11405.1	AT3G11405.1		NP_974283.1	Q58FW2	3	3580895	3581359	1		not observed		 hypothetical protein 	AT3G11405.1
Q9ZUN9	AT2G19530.1	AT2G19530.1		NP_179543.1	Q9ZUN9	2	8460219	8461486	1		canonical	8	 transmembrane protein 	AT2G19530.1
Q8L7B9	AT3G26910.1	AT3G26910.1		NP_189326.2	Q8L7B9	3	9915338	9918511	1		canonical	38	 hydroxyproline-rich glycoprotein family protein 	AT3G26910.1
A0A1P8BC53	AT5G10435.1	AT5G10435.1		NP_001330870.1	A0A1P8BC53	5	3277631	3278173	1		not observed		 transmembrane protein 	AT5G10435.1
CH20	AT5G20720.1	AT5G20720.1		NP_001318614.1	O65282	5	7015015	7016354	1		canonical	193	 chaperonin 20 	AT5G20720.1
H2AV3	AT1G52740.1	AT1G52740.1		NP_175683.1	Q9C944	1	19645409	19646221	1		canonical	55	 histone H2A protein 9 	AT1G52740.1
DF294	AT2G04034.1	AT2G04034.1		NP_001031315.1	Q2V4A4	2	1297161	1297543	1		canonical	4	 Putative membrane lipoprotein 	AT2G04034.1
CALR2	AT1G09210.1	AT1G09210.1		NP_172392.1	Q38858	1	2973217	2976655	1		canonical	270	 calreticulin 1b 	AT1G09210.1
O80943	AT2G37750.1	AT2G37750.1		NP_565870.1	O80943	2	15831017	15831265	1		canonical	2	 hypothetical protein 	AT2G37750.1
B3H5I7	AT3G55566.1	AT3G55566.1		NP_001118844.1	B3H5I7	3	20608742	20608840	1		not observed		 hypothetical protein 	AT3G55566.1
RS263	AT3G56340.1	AT3G56340.1		NP_191193.1	Q9LYK9	3	20892309	20893343	1		marginally distinguished	85	 Ribosomal protein S26e family protein 	AT3G56340.1
Q3EB12	AT3G24535.1	AT3G24535.1		NP_683591.1	Q3EB12	3	8952006	8952572	1		not observed		 hypothetical protein 	AT3G24535.1
RIC6	AT2G20430.1	AT2G20430.1		NP_179633.2	Q1PF35	2	8808667	8809781	1		canonical	8	 ROP-interactive CRIB motif-containing protein 6 	AT2G20430.1
CCR4E	AT1G73875.1	AT1G73875.1		NP_683491.2	Q0WKY2	1	27781112	27784571	1		canonical	5	 DNAse I-like superfamily protein 	AT1G73875.1
PUM20	AT1G21620.1	AT1G21620.1		NP_173581.1	Q9XI17	1	7579129	7580171	1		not observed		 pumilio 20 	AT1G21620.1
Q9M0B2	AT4G30480.2	AT4G30480.2		NP_194777.3	Q9M0B2	4	14897500	14898937	1		canonical	50	 Tetratricopeptide repeat (TPR)-like superfamily protein 	AT4G30480.2
Q9FJ12	AT5G49280.1	AT5G49280.1		NP_568708.1	Q9FJ12	5	19976842	19977330	1		not observed		 hydroxyproline-rich glycoprotein family protein 	AT5G49280.1
RLK5	AT4G28490.1	AT4G28490.1		NP_194578.1	P47735	4	14077894	14080965	1		canonical	22	 Leucine-rich receptor-like protein kinase family protein 	AT4G28490.1
FBD2	AT1G55030.1	AT1G55030.1		NP_175901.1	Q9C7M1	1	20530417	20531768	1		not observed		 RNI-like superfamily protein 	AT1G55030.1
RS156	AT5G63070.1	AT5G63070.1		NP_201112.1	Q9FML6	5	25299178	25299660	1		subsumed by AT5G09500.1	1	 Ribosomal protein S19 family protein 	AT5G63070.1
O81013	AT2G26940.1	AT2G26940.1		NP_180262.1	O81013	2	11496518	11497378	1		not observed		 C2H2-type zinc finger family protein 	AT2G26940.1
MAP1B	AT1G13270.1	AT1G13270.1		NP_172785.1	Q9FV52	1	4544999	4547155	1		canonical	34	 methionine aminopeptidase 1B 	AT1G13270.1
PLA2C	AT4G29460.1	AT4G29460.1		NP_194675.1	Q9M0D7	4	14483066	14483930	1		weak	1	 Phospholipase A2 family protein 	AT4G29460.1
MLO6	AT1G61560.1	AT1G61560.1		NP_176350.1	Q94KB7	1	22708875	22712032	1		canonical	13	 Seven transmembrane MLO family protein 	AT1G61560.1
XERIC	AT2G04240.1	AT2G04240.1		NP_178507.1	Q9SI09	2	1461816	1462304	1		not observed		 RING/U-box superfamily protein 	AT2G04240.1
PKS1	AT2G02950.1	AT2G02950.1		NP_565292.1	Q9SWI1	2	855149	856468	1		canonical	13	 phytochrome kinase substrate 1 	AT2G02950.1
MYO15	AT4G33200.1	AT4G33200.1		NP_195046.3	Q0WPU1	4	16002768	16014792	1		canonical	96	 myosin 	AT4G33200.1
Q9LY08	AT5G07540.1	AT5G07540.1		NP_196371.1	Q9LY08	5	2386212	2387206	1		canonical	33	 glycine-rich protein 16 	AT5G07540.1
Q940A5	AT1G55475.1	AT1G55475.1		NP_001322069.1	Q940A5	1	20711977	20712586	1		weak	1	 hypothetical protein 	AT1G55475.1
Q9SYC6	AT1G51240.1	AT1G51240.1		NP_175535.2	Q9SYC6	1	19000509	19000928	1		subsumed by AT1G51250.1	6	 Plant self-incompatibility protein S1 family 	AT1G51240.1
Q6ID73	AT2G26695.1	AT2G26695.1		NP_001324100.1	Q6ID73	2	11365275	11365789	1		canonical	5	 Ran BP2/NZF zinc finger-like superfamily protein 	AT2G26695.1
Q9S7L7	AT3G01940.1	AT3G01940.1		NP_001319445.1	Q9S7L7	3	322841	323053	1		not observed		 transmembrane protein%2C putative (DUF 3339) 	AT3G01940.1
PSY3	AT2G29995.1	AT2G29995.1		NP_565690.1	Q8S8P7	2	12797137	12799343	1		weak	1	 PSY3-like protein 	AT2G29995.1
BBX21	AT1G75540.1	AT1G75540.1		NP_177686.1	Q9LQZ7	1	28366059	28367398	1		canonical	3	 salt tolerance homolog2 	AT1G75540.1
	AT1G73820.2	AT1G73820.2				1	27755740	27757402	1		canonical	15	 Ssu72-like family protein 	AT1G73820.2
B3H7D8	AT5G18037.1	AT5G18037.1		NP_001119244.1	B3H7D8	5	5971313	5971528	1		not observed		 NAC (No Apical Meristem) domain transcriptional regulator superfamily protein 	AT5G18037.1
A0A1P8B7B7	AT4G12555.1	AT4G12555.1		NP_001329315.1	A0A1P8B7B7	4	7439164	7440116	1		not observed		 hypothetical protein 	AT4G12555.1
KIB1	AT4G12810.1	AT4G12810.1		NP_193017.1	Q9SU05	4	7522831	7523979	1		not observed		 F-box family protein 	AT4G12810.1
Q9FFU2	AT5G54880.1	AT5G54880.1		NP_568814.2	Q9FFU2	5	22291920	22293104	1		canonical	8	 DTW domain-containing protein 	AT5G54880.1
Q9SKM6	AT2G28440.1	AT2G28440.1		NP_180411.1	Q9SKM6	2	12161226	12162032	1		weak	4	 proline-rich family protein 	AT2G28440.1
SNF4	AT1G09020.1	AT1G09020.1		NP_563834.1	Q944A6	1	2900149	2904212	1		canonical	44	 sucrose nonfermenting-like protein 	AT1G09020.1
O80889	AT2G32520.1	AT2G32520.1		NP_180811.1	O80889	2	13805823	13807442	1		canonical	51	 alpha/beta-Hydrolases superfamily protein 	AT2G32520.1
Q8GW63	AT1G64600.1	AT1G64600.1		NP_176641.2	Q8GW63	1	23995996	23998625	1		canonical	41	 copper ion binding / methyltransferase 	AT1G64600.1
Q8GX17	AT4G19150.1	AT4G19150.1		NP_193650.2	Q8GX17	4	10471578	10472677	1		canonical	28	 Ankyrin repeat family protein 	AT4G19150.1
O50062	AT2G33010.1	AT2G33010.1		NP_180860.1	O50062	2	14010892	14013246	1		not observed		 Ubiquitin-associated (UBA) protein 	AT2G33010.1
UVSSA	AT3G61800.1	AT3G61800.1		NP_001326668.1	Q9M358	3	22874723	22876846	1		canonical	9	 ENTH/VHS protein 	AT3G61800.1
DCUP1	AT3G14930.1	AT3G14930.1		NP_566495.1	Q93ZB6	3	5020675	5022577	1		canonical	76	 Uroporphyrinogen decarboxylase 	AT3G14930.1
O49341	AT2G30760.1	AT2G30760.1		NP_180634.1	O49341	2	13105770	13108221	1		not observed		 hypothetical protein 	AT2G30760.1
Q9FG28	AT5G06790.1	AT5G06790.1		NP_196297.1	Q9FG28	5	2098088	2098717	1		not observed		 cotton fiber protein 	AT5G06790.1
WRK23	AT2G47260.1	AT2G47260.1		NP_182248.1	O22900	2	19405045	19406446	1		canonical	10	 WRKY DNA-binding protein 23 	AT2G47260.1
GLV8	AT3G02242.1	AT3G02242.1		NP_001118555.1	B3H5Q2	3	420108	420680	1		not observed		 root meristem growth factor-like protein 	AT3G02242.1
Q9FYR2	AT5G35090.1	AT5G35090.1		NP_198359.1	Q9FYR2	5	13358536	13359015	1		canonical	12	 hypothetical protein 	AT5G35090.1
PDK	AT3G06483.1	AT3G06483.1		NP_187300.3	Q9SBJ1	3	1990727	1992581	1		canonical	33	 pyruvate dehydrogenase kinase 	AT3G06483.1
F4IDR6	AT1G06750.1	AT1G06750.1		NP_001321412.1	F4IDR6	1	2073882	2076350	1		canonical	16	 P-loop containing nucleoside triphosphate hydrolases superfamily protein 	AT1G06750.1
F4IVU0	AT2G33385.1	AT2G33385.1		NP_850208.1	F4IVU0	2	14147604	14149769	1		canonical	6	 actin-related protein C2B 	AT2G33385.1
Q29Q34	AT5G19440.1	AT5G19440.1		NP_197445.1	Q29Q34	5	6556493	6558123	1		canonical	130	 NAD(P)-binding Rossmann-fold superfamily protein 	AT5G19440.1
ERF1X	AT5G47880.1	AT5G47880.1		NP_001032029.1	Q39097	5	19386555	19387865	1		canonical	61	 eukaryotic release factor 1-1 	AT5G47880.1
Q2HIW3	AT1G76590.1	AT1G76590.1		NP_565135.1	Q2HIW3	1	28740875	28741894	1		canonical	8	 PLATZ transcription factor family protein 	AT1G76590.1
F4JJD6	AT4G15096.1	AT4G15096.1		NP_567457.1	F4JJD6	4	8620596	8622635	1		not observed		 hypothetical protein 	AT4G15096.1
	AT1G22780.1	AT1G22780.1				1	8067990	8069163	1		canonical	96	 Ribosomal protein S13/S18 family 	AT1G22780.1
Q8S8D5	AT2G20595.1	AT2G20595.1		NP_565479.1	Q8S8D5	2	8871697	8871997	1		weak	1	 plant thionin family protein 	AT2G20595.1
NIPA3	AT1G34470.1	AT1G34470.1		NP_564447.1	Q9LNK7	1	12604574	12606758	1		canonical	2	 magnesium transporter%2C putative (DUF803) 	AT1G34470.1
FB327	AT3G27290.1	AT3G27290.1		NP_566814.1	Q9LK24	3	10080038	10081265	1		not observed		 RNI-like superfamily protein 	AT3G27290.1
SNL3	AT1G24190.1	AT1G24190.1		NP_173829.3	O48686	1	8563858	8569927	1		canonical	89	 SIN3-like 3 	AT1G24190.1
CFO-IV/ATPI	PeptideAtlas_ATCG00150.1	PeptideAtlas_ATCG00150.1			P56758	C	14021	14770	1		canonical	29	 ATPase%2C F0 complex%2C subunit A protein 	ATCG00150.1
SPL3	AT2G33810.1	AT2G33810.1		NP_565771.1	P93015	2	14305342	14305828	1		canonical	5	 squamosa promoter binding protein-like 3 	AT2G33810.1
CUL3B	AT1G69670.1	AT1G69670.1		NP_001319357.1	Q9C9L0	1	26202169	26204442	1		canonical	59	 cullin 3B 	AT1G69670.1
MLP28	AT1G70830.1	AT1G70830.1		NP_849875.1	Q9SSK9	1	26710203	26711395	1		canonical	108	 MLP-like protein 28 	AT1G70830.1
Q9SS05	AT1G65850.1	AT1G65850.1		NP_176760.2	Q9SS05	1	24494734	24498485	1		subsumed by AT1G65850.2	7	 Disease resistance protein (TIR-NBS-LRR class) family 	AT1G65850.1
GIGAN	AT1G22770.1	AT1G22770.1		NP_564180.1	Q9SQI2	1	8062398	8067447	1		canonical	40	 gigantea protein (GI) 	AT1G22770.1
Q9SKF0	AT2G13290.1	AT2G13290.1		NP_178963.1	Q9SKF0	2	5512058	5513143	1		canonical	10	 beta-1%2C4-N-acetylglucosaminyltransferase family protein 	AT2G13290.1
ARI2	AT2G16090.1	AT2G16090.1		NP_179206.2	Q84RR2	2	6987367	6989822	1		canonical	11	 RING/U-box superfamily protein 	AT2G16090.1
Q9XIL0	AT2G15770.1	AT2G15770.1		NP_179179.1	Q9XIL0	2	6871257	6872245	1		not observed		 Cupredoxin superfamily protein 	AT2G15770.1
RDM1	AT3G22680.1	AT3G22680.1		NP_188907.2	Q9LUJ3	3	8019785	8020374	1		canonical	12	 RNA-DIRECTED DNA METHYLATION 1 	AT3G22680.1
MSRB4	AT4G04810.1	AT4G04810.1		NP_192390.1	Q9M0Z5	4	2441412	2442567	1		canonical	6	 methionine sulfoxide reductase B4 	AT4G04810.1
Q9FJR6	AT5G46950.1	AT5G46950.1		NP_568672.1	Q9FJR6	5	19059565	19060089	1		canonical	28	 Plant invertase/pectin methylesterase inhibitor superfamily protein 	AT5G46950.1
ALA3	AT1G59820.1	AT1G59820.1		NP_176191.1	Q9XIE6	1	22011599	22020023	1		canonical	62	 aminophospholipid ATPase 3 	AT1G59820.1
Y3990	AT3G49900.1	AT3G49900.1		NP_190559.1	Q9M2W8	3	18500635	18502614	1		canonical	9	 Phototropic-responsive NPH3 family protein 	AT3G49900.1
C3H45	AT3G51180.1	AT3G51180.1		NP_566947.1	Q94C33	3	19013720	19016042	1		canonical	2	 Zinc finger C-x8-C-x5-C-x3-H type family protein 	AT3G51180.1
Q3EDB8	AT1G15590.1	AT1G15590.1		NP_001185004.1	Q3EDB8	1	5367374	5368232	1		not observed		 E3 ubiquitin-protein ligase 	AT1G15590.1
PHB2	AT1G03860.1	AT1G03860.1		NP_171882.1	Q9ZNT7	1	979611	981157	1		canonical	89	 prohibitin 2 	AT1G03860.1
Q84RJ7	AT2G34100.1	AT2G34100.1		NP_001154550.1	Q84RJ7	2	14399705	14401655	1		not observed		 nonsense-mediated mRNA decay-like protein 	AT2G34100.1
SP1L3	AT3G02180.1	AT3G02180.1		NP_566166.1	Q9S7P8	3	404989	405457	1		canonical	21	 SPIRAL1-like3 	AT3G02180.1
Y3550	AT3G05500.1	AT3G05500.1		NP_187201.1	Q9MA63	3	1593540	1594802	1		canonical	38	 Rubber elongation factor protein (REF) 	AT3G05500.1
VUP4	AT5G54790.1	AT5G54790.1		NP_200290.2	Q5BPG5	5	22254195	22255489	1		weak	1	 CTD small phosphatase-like protein 	AT5G54790.1
RH55	AT1G71280.1	AT1G71280.1		NP_177284.1	Q9FVV4	1	26870262	26872152	1		subsumed by AT5G05450.1	4	 DEA(D/H)-box RNA helicase family protein 	AT1G71280.1
HRS1	AT1G13300.1	AT1G13300.1		NP_563926.1	Q9FX67	1	4556977	4558591	1		canonical	5	 myb-like transcription factor family protein 	AT1G13300.1
Q6NPL8	AT2G37910.1	AT2G37910.1		NP_181327.1	Q6NPL8	2	15868399	15869097	1		not observed		 cation/hydrogen exchanger%2C putative (CHX21) 	AT2G37910.1
BPM6	AT3G43700.1	AT3G43700.1		NP_189956.2	A1L4W5	3	15601944	15603499	1		canonical	17	 BTB-POZ and MATH domain 6 	AT3G43700.1
GOLS2	AT1G56600.1	AT1G56600.1		NP_176053.1	Q9FXB2	1	21207620	21209291	1		canonical	27	 galactinol synthase 2 	AT1G56600.1
DF220	AT5G48605.1	AT5G48605.1		NP_001032036.1	Q2V304	5	19710215	19710578	1		canonical	3	 Putative membrane lipoprotein 	AT5G48605.1
SYP24	AT1G32270.1	AT1G32270.1		NP_174506.1	Q9C615	1	11642593	11644962	1		not observed		 syntaxin 	AT1G32270.1
B3H4X6	AT3G44261.1	AT3G44261.1		NP_001118770.1	B3H4X6	3	15954539	15954667	1		not observed		 Pol polyprotein/retrotransposon 	AT3G44261.1
KING1	AT3G48530.1	AT3G48530.1		NP_190422.1	Q8LBB2	3	17987559	17989592	1		canonical	42	 SNF1-related protein kinase regulatory subunit gamma 1 	AT3G48530.1
BZP43	AT5G38800.1	AT5G38800.1		NP_198696.1	Q9FMC2	5	15538305	15538802	1		not observed		 basic leucine-zipper 43 	AT5G38800.1
Y5713	AT5G67130.1	AT5G67130.1		NP_569045.1	Q93XX5	5	26791599	26793649	1		canonical	33	 PLC-like phosphodiesterases superfamily protein 	AT5G67130.1
	AT1G58766.1	AT1G58766.1				1	21774386	21776765	1		subsumed by AT1G17450.2	2	 B-block-binding subunit of TFIIIC protein 	AT1G58766.1
Q1PEF3	AT3G54530.1	AT3G54530.1		NP_191017.2	Q1PEF3	3	20186145	20187509	1		not observed		 hypothetical protein 	AT3G54530.1
Q9SX62	AT1G48280.1	AT1G48280.1		NP_564524.1	Q9SX62	1	17835196	17837553	1		canonical	11	 hydroxyproline-rich glycoprotein family protein 	AT1G48280.1
ANT	AT4G37750.1	AT4G37750.1		NP_195489.1	Q38914	4	17739782	17742189	1		canonical	17	 Integrase-type DNA-binding superfamily protein 	AT4G37750.1
SEOC	AT1G67790.1	AT1G67790.1		NP_001319338.1	Q9FXE2	1	25417542	25420099	1		weak	1	 sieve element occlusion protein 	AT1G67790.1
F4JM51	AT4G28940.1	AT4G28940.1		NP_194623.2	F4JM51	4	14274414	14276920	1		canonical	31	 Phosphorylase superfamily protein 	AT4G28940.1
PUP23	AT1G57980.1	AT1G57980.1		NP_176099.1	Q9C654	1	21439444	21440732	1		canonical	3	 Nucleotide-sugar transporter family protein 	AT1G57980.1
Q949U5	AT3G07140.1	AT3G07140.1		NP_566299.1	Q949U5	3	2261278	2263632	1		canonical	29	 GPI transamidase component Gpi16 subunit family protein 	AT3G07140.1
O23263	AT4G14020.1	AT4G14020.1		NP_567419.1	O23263	4	8095370	8095705	1		canonical	2	 Rapid alkalinization factor (RALF) family protein 	AT4G14020.1
Q94BX3	AT4G25670.1	AT4G25670.1		NP_001190839.1	Q94BX3	4	13085431	13085997	1		not observed		 stress response NST1-like protein 	AT4G25670.1
ADK1	AT3G09820.1	AT3G09820.1		NP_187593.1	Q9SF85	3	3012122	3014624	1		canonical	236	 adenosine kinase 1 	AT3G09820.1
Q8S8I9	AT2G07728.1	AT2G07728.1		NP_178805.1	Q8S8I9	2	3453686	3456127	1		not observed		 hypothetical protein 	AT2G07728.1
Q3EAP6	AT3G44935.1	AT3G44935.1		NP_680096.1	Q3EAP6	3	16409003	16409610	1		not observed		 hypothetical protein 	AT3G44935.1
Q8L5X9	AT5G04840.1	AT5G04840.1		NP_196104.2	Q8L5X9	5	1406005	1407648	1		canonical	12	 bZIP protein 	AT5G04840.1
A0A1P8B0G7	AT2G21550.2	AT2G21550.2		NP_001324557.1	A0A1P8B0G7	2	9227209	9230189	1		canonical	15	 Bifunctional dihydrofolate reductase/thymidylate synthase 	AT2G21550.2
S61G3	AT3G48570.1	AT3G48570.1		NP_566909.1	Q9SMP2	3	18004604	18004912	1		weak	3	 secE/sec61-gamma protein transport protein 	AT3G48570.1
OTU9	AT5G04250.1	AT5G04250.1		NP_001119168.1	Q8LBW2	5	1176397	1178492	1		canonical	13	 Cysteine proteinases superfamily protein 	AT5G04250.1
Q94AB1	AT3G14075.1	AT3G14075.1		NP_001189887.1	Q94AB1	3	4663819	4666338	1		canonical	28	 Mono-/di-acylglycerol lipase%2C N-terminal%3BLipase%2C class 3 	AT3G14075.1
SBT13	AT5G51750.1	AT5G51750.1		NP_568765.1	Q9FLI4	5	21020266	21022608	1		canonical	107	 subtilase 1.3 	AT5G51750.1
BZIP8	AT1G68880.1	AT1G68880.1		NP_177054.1	Q9CA46	1	25894499	25894915	1		not observed		 basic leucine-zipper 8 	AT1G68880.1
PLCD6	AT2G40116.1	AT2G40116.1		NP_850327.2	Q8GV43	2	16751782	16754311	1		canonical	23	 Phosphoinositide-specific phospholipase C family protein 	AT2G40116.1
Q9LY80	AT5G14490.1	AT5G14490.1		NP_196953.1	Q9LY80	5	4670779	4672072	1		not observed		 NAC domain containing protein 85 	AT5G14490.1
GG1	AT3G63420.1	AT3G63420.1		NP_001325615.1	Q9FDX9	3	23417383	23418405	1		canonical	6	 Ggamma-subunit 1 	AT3G63420.1
PP219	AT3G08820.1	AT3G08820.1		NP_187494.1	Q9SR82	3	2677122	2679179	1		canonical	9	 Pentatricopeptide repeat (PPR) superfamily protein 	AT3G08820.1
DR102	AT3G04880.1	AT3G04880.1		NP_566241.1	Q05212	3	1346431	1347363	1		canonical	49	 DNA-damage-repair/toleration protein (DRT102) 	AT3G04880.1
SUT41	AT5G13550.1	AT5G13550.1		NP_196859.1	Q9FY46	5	4355412	4359490	1		canonical	29	 sulfate transporter 4.1 	AT5G13550.1
MIOX2	AT2G19800.1	AT2G19800.1		NP_565459.1	O82200	2	8531106	8533354	1		canonical	29	 myo-inositol oxygenase 2 	AT2G19800.1
B3H4T3	AT1G52191.1	AT1G52191.1		NP_001117468.1	B3H4T3	1	19439367	19441400	1		not observed		 Thioesterase superfamily protein 	AT1G52191.1
Q9ZQQ9	AT2G14460.1	AT2G14460.1		NP_179053.1	Q9ZQQ9	2	6154580	6154705	1		not observed		 hypothetical protein 	AT2G14460.1
Q8GYT1	AT4G15520.1	AT4G15520.1		NP_193287.1	Q8GYT1	4	8862829	8864366	1		canonical	16	 tRNA/rRNA methyltransferase (SpoU) family protein 	AT4G15520.1
Q9SN25	AT4G10200.1	AT4G10200.1		NP_001319892.1	Q9SN25	4	6353172	6355591	1		subsumed by PeptideAtlas_ATCG00120.1	2	 TTF-type zinc finger protein with HAT dimerization domain-containing protein 	AT4G10200.1
VPS41	AT1G08190.1	AT1G08190.1		NP_172297.2	P93043	1	2567652	2573142	1		canonical	62	 vacuolar protein sorting 41 	AT1G08190.1
F4IHC3	AT2G05635.1	AT2G05635.1		NP_001318203.1	F4IHC3	2	2089484	2090454	1		not observed		 DNA repair DEAD helicase RAD3/XP-D subfamily protein 	AT2G05635.1
SQD1	AT4G33030.1	AT4G33030.1		NP_195029.1	O48917	4	15936051	15937566	1		canonical	88	 sulfoquinovosyldiacylglycerol 1 	AT4G33030.1
SOBRL	AT4G22300.1	AT4G22300.1		NP_193961.3	Q8GYK2	4	11787560	11789252	1		canonical	14	 carboxylesterase 	AT4G22300.1
F4JCI2	AT3G26360.1	AT3G26360.1		NP_001327804.1	F4JCI2	3	9655963	9656373	1		canonical	15	 Ribosomal protein S21 family protein 	AT3G26360.1
Q9ZQ28	AT2G24400.1	AT2G24400.1		NP_180016.1	Q9ZQ28	2	10377993	10378529	1		weak	1	 SAUR-like auxin-responsive protein family 	AT2G24400.1
GSTU4	AT2G29460.1	AT2G29460.1		NP_180507.1	Q9ZW27	2	12626689	12627600	1		canonical	22	 glutathione S-transferase tau 4 	AT2G29460.1
Q9FFY4	AT5G13890.1	AT5G13890.1		NP_196893.1	Q9FFY4	5	4479940	4480872	1		canonical	9	 plant viral-response family protein (DUF716) 	AT5G13890.1
PTR6	AT1G52190.1	AT1G52190.1		NP_175630.1	Q9M817	1	19434671	19438673	1		canonical	30	 Major facilitator superfamily protein 	AT1G52190.1
ING1	AT3G24010.1	AT3G24010.1		NP_566742.1	Q9LIQ6	3	8676120	8678186	1		canonical	9	 RING/FYVE/PHD zinc finger superfamily protein 	AT3G24010.1
CHIB	AT3G12500.1	AT3G12500.1		NP_566426.2	P19171	3	3962501	3963984	1		canonical	87	 basic chitinase 	AT3G12500.1
Q9M123	AT4G01590.1	AT4G01590.1		NP_001190652.1	Q9M123	4	689077	690192	1		canonical	12	 DNA-directed RNA polymerase III subunit 	AT4G01590.1
OCT7	AT3G13050.1	AT3G13050.1		NP_001326466.1	Q940M4	3	4176866	4178868	1		canonical	11	 Major facilitator superfamily protein 	AT3G13050.1
ADCS	AT2G28880.1	AT2G28880.1		NP_850127.1	Q8LPN3	2	12398937	12403108	1		canonical	19	 para-aminobenzoate (PABA) synthase family protein 	AT2G28880.1
A0A2H1ZED5	AT1G52940.1	AT1G52940.1		NP_001319211.1	A0A2H1ZED5	1	19716402	19723104	1		not observed		 purple acid phosphatase 5 	AT1G52940.1
LUL3	AT5G19080.1	AT5G19080.1		NP_197409.1	Q84ME1	5	6378400	6380287	1		canonical	8	 RING/U-box superfamily protein 	AT5G19080.1
GDL16	AT1G31550.1	AT1G31550.1		NP_001031122.1	Q9C857	1	11295635	11297284	1		canonical	16	 GDSL-like Lipase/Acylhydrolase superfamily protein 	AT1G31550.1
PNP2	AT5G14580.1	AT5G14580.1		NP_196962.1	Q9S7G6	5	4697612	4703013	1		canonical	105	 polyribonucleotide nucleotidyltransferase 	AT5G14580.1
Q9FML0	AT5G63130.1	AT5G63130.1		NP_001318869.1	Q9FML0	5	25323190	25323857	1		weak	1	 Octicosapeptide/Phox/Bem1p family protein 	AT5G63130.1
PER56	AT5G15180.1	AT5G15180.1		NP_197022.1	Q9LXG3	5	4930561	4932211	1		canonical	45	 Peroxidase superfamily protein 	AT5G15180.1
PLDB1	AT2G42010.1	AT2G42010.1		NP_565963.2	P93733	2	17533018	17537990	1		canonical	67	 phospholipase D beta 1 	AT2G42010.1
Q9FIN3	AT5G24390.1	AT5G24390.1		NP_197827.1	Q9FIN3	5	8327004	8329238	1		not observed		 Ypt/Rab-GAP domain of gyp1p superfamily protein 	AT5G24390.1
DEF1B	AT5G14660.1	AT5G14660.1		NP_001332718.1	Q9FUZ2	5	4727129	4728671	1		canonical	35	 peptide deformylase 1B 	AT5G14660.1
A8MQE7	AT2G16592.1	AT2G16592.1		NP_001077899.1	A8MQE7	2	7196271	7196576	1		weak	1	 Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein 	AT2G16592.1
Q9SUR5	AT4G23610.1	AT4G23610.1		NP_567687.1	Q9SUR5	4	12314037	12314723	1		canonical	2	 Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family 	AT4G23610.1
Q9FRL0	AT1G75190.1	AT1G75190.1		NP_565104.1	Q9FRL0	1	28219598	28219993	1		canonical	10	 hypothetical protein 	AT1G75190.1
Q9LR26	AT1G23330.1	AT1G23330.1		NP_173747.1	Q9LR26	1	8279874	8281891	1		canonical	11	 alpha/beta-Hydrolases superfamily protein 	AT1G23330.1
RNZ4	AT3G16260.1	AT3G16260.1		NP_188247.2	F4J1H7	3	5509397	5513118	1		canonical	61	 tRNAse Z4 	AT3G16260.1
Q9LPD7	AT1G44920.1	AT1G44920.1		NP_564492.1	Q9LPD7	1	16983229	16984408	1		canonical	14	 transmembrane protein 	AT1G44920.1
TCX2	AT4G14770.1	AT4G14770.1		NP_193213.5	F4JIF5	4	8481522	8484825	1		canonical	8	 TESMIN/TSO1-like CXC 2 	AT4G14770.1
FB197	AT3G49450.1	AT3G49450.1		NP_190514.2	Q9SCL2	3	18337305	18338507	1		not observed		 F-box and associated interaction domains-containing protein 	AT3G49450.1
PSA7A	AT3G51260.1	AT3G51260.1		NP_190694.1	P30186	3	19031086	19032746	1		canonical	162	 20S proteasome alpha subunit PAD1 	AT3G51260.1
A0A1P8B1H3	AT2G33260.2	AT2G33260.2		NP_001324867.1	A0A1P8B1H3	2	14100840	14102564	1		canonical	2	 Tryptophan/tyrosine permease 	AT2G33260.2
Q8GYE1	AT5G06590.1	AT5G06590.1		NP_196277.2	Q8GYE1	5	2016713	2018744	1		canonical	25	 hypothetical protein 	AT5G06590.1
FQRL3	AT5G58800.1	AT5G58800.1		NP_001032099.1	Q9LUX9	5	23746032	23746895	1		canonical	17	 Quinone reductase family protein 	AT5G58800.1
DF239	AT2G25685.1	AT2G25685.1		NP_001031414.1	P82636	2	10937678	10938081	1		canonical	2	 SCR-like 17 	AT2G25685.1
Y1540	AT1G15400.1	AT1G15400.1		NP_001077541.1	Q9XI29	1	5296033	5296824	1		canonical	15	 hypothetical protein 	AT1G15400.1
AB24B	AT4G28620.1	AT4G28620.1		NP_194591.1	Q9M0G9	4	14135526	14137953	1		subsumed by AT4G28630.1	14	 ABC transporter of the mitochondrion 2 	AT4G28620.1
